price,millage,year,make,model,city,state,accidents,owners,use
13500,45031,2016,Ford,Escape, Newark, NJ,0,1.0,Fleet
9950,140649,2010,Audi,S5, Brooklyn, NY,0,1.0,Personal
39995,6598,2019,Lexus,RX, New York, NY,0,1.0,Personal
11992,114296,2013,BMW,5 Series, Jersey City, NJ,1,2.0,Fleet
72995,7403,2019,Porsche,Cayenne, New York, NY,0,1.0,Personal
17995,98515,2015,Acura,MDX, Union City, NJ,0,2.0,Fleet
169995,27267,2009,Rolls-Royce,Phantom, New York, NY,0,2.0,Personal
32792,70001,2015,Cadillac,Escalade, Jersey City, NJ,1,3.0,Personal
28886,46176,2017,Mercedes-Benz,GLE, Secaucus, NJ,0,1.0,Personal
17797,27679,2019,Ford,Escape, New York, NY,1,1.0,Personal
2950,190210,2005,Volvo,XC90, Brooklyn, NY,3,3.0,Personal
13881,34631,2019,Volkswagen,Jetta, New York, NY,0,1.0,Personal
49995,3945,2019,Porsche,Macan, New York, NY,0,1.0,Personal
6997,78072,2013,FIAT,500, Jersey City, NJ,0,2.0,Personal
11542,64926,2017,Ford,Escape, Carlstadt, NJ,0,1.0,Fleet
38490,9113,2019,Lexus,RX, New York, NY,0,1.0,Personal
27995,27246,2016,Lexus,RX, New York, NY,0,1.0,Personal
29197,20689,2019,Ford,Ranger, Jersey City, NJ,0,1.0,Personal
29990,2553,2017,Jeep,Grand Cherokee, New York, NY,0,1.0,Personal
149997,33454,2013,Ferrari,458 Italia, Jersey City, NJ,0,5.0,Fleet
3942,114400,2007,Nissan,Murano, Carlstadt, NJ,3,2.0,Personal
20995,65490,2017,INFINITI,QX60, Union City, NJ,0,3.0,Personal
4999,123702,2010,Volkswagen,Passat, Brooklyn, NY,0,3.0,Fleet
17497,30532,2020,Kia,Soul, Jersey City, NJ,0,1.0,Personal
24386,29659,2017,Audi,A4, Secaucus, NJ,0,1.0,Personal
30797,11294,2020,Nissan,Pathfinder, Jersey City, NJ,0,1.0,Personal
9999,107207,2013,Jeep,Grand Cherokee, Brooklyn, NY,0,3.0,Personal
26537,18110,2017,Lexus,NX, New York, NY,0,1.0,Personal
38995,7318,2019,Lexus,RX, New York, NY,0,1.0,Personal
13998,61331,2009,INFINITI,G, Jersey City, NJ,0,2.0,Personal
7720,134072,2010,BMW,5 Series, Newark, NJ,0,4.0,Fleet
8950,107450,2016,Kia,Sedona, Brooklyn, NY,4,2.0,Fleet
12742,45426,2018,Nissan,Altima, Carlstadt, NJ,0,1.0,Personal
11995,28547,2018,Nissan,Altima, Newark, NJ,0,2.0,Personal
38990,6245,2019,Lexus,RX, New York, NY,0,1.0,Personal
27497,21660,2019,INFINITI,Q50, Jersey City, NJ,0,1.0,Personal
12497,98795,2012,Audi,A5, Jersey City, NJ,0,2.0,Personal
39490,6031,2019,Lexus,RX, New York, NY,0,1.0,Personal
13750,91091,2013,Ford,Econoline Wagon, Brooklyn, NY,1,1.0,Personal
133995,7312,2017,Porsche,911, New York, NY,0,2.0,Personal
10995,129982,2017,Kia,Optima, Newark, NJ,0,1.0,Personal
15999,84063,2016,Nissan,Frontier, Union City, NJ,0,3.0,Fleet
13495,94224,2014,Ford,Econoline Cargo Van, Union City, NJ,0,1.0,Personal
10942,47368,2016,Ford,Fusion, Carlstadt, NJ,0,3.0,Fleet
11995,100704,2012,Volkswagen,Touareg, Bayonne, NJ,1,2.0,Fleet
16599,7558,2020,Toyota,Corolla, Union City, NJ,0,1.0,Fleet
14980,86656,2010,INFINITI,G, Jersey City, NJ,0,1.0,Personal
23990,13698,2019,Jeep,Cherokee, New York, NY,0,1.0,Personal
2995,158760,2004,Toyota,Avalon, Union City, NJ,2,4.0,Personal
11995,97465,2012,Jeep,Grand Cherokee, Newark, NJ,0,2.0,Personal
18799,116499,2013,Jeep,Wrangler, Union City, NJ,1,2.0,Personal
7995,146304,2010,Honda,Accord Crosstour, Union City, NJ,0,4.0,Personal
39990,5743,2019,Lexus,RX, New York, NY,0,1.0,Personal
17999,34220,2017,Honda,Accord, Union City, NJ,0,1.0,Personal
59901,11157,2017,Mercedes-Benz,SL, New York, NY,0,1.0,Personal
11995,79601,2010,Mercedes-Benz,E-Class, Union City, NJ,0,1.0,Personal
24997,14240,2020,Hyundai,Santa Fe, Jersey City, NJ,0,1.0,Personal
159995,5388,2018,Porsche,911, New York, NY,0,2.0,Personal
30686,15276,2018,Audi,A5, Secaucus, NJ,0,1.0,Personal
28990,22472,2017,Jeep,Wrangler, New York, NY,0,1.0,Personal
39490,5635,2019,Lexus,RX, New York, NY,0,1.0,Personal
18500,20000,2019,Jeep,Compass, Bayonne, NJ,0,2.0,Fleet
32286,41418,2017,Audi,Q7, Secaucus, NJ,0,1.0,Personal
6995,86532,2017,Mitsubishi,Lancer, Bayonne, NJ,1,2.0,Fleet
17995,75514,2014,Land,Rover Range Rover Evoque, Newark, NJ,0,2.0,Fleet
6450,119128,2006,Nissan,Armada, Brooklyn, NY,1,3.0,Personal
48904,18737,2017,Mercedes-Benz,GLS, New York, NY,0,1.0,Personal
15542,52378,2017,GMC,Savana Cargo Van, Carlstadt, NJ,0,1.0,Personal
14790,96467,2011,Audi,S4, Jersey City, NJ,0,2.0,Personal
25987,36966,2017,Alfa,Romeo Giulia, Jersey City, NJ,0,1.0,Personal
27997,44243,2017,Volkswagen,Golf R, Jersey City, NJ,0,1.0,Fleet
3995,111202,2002,Toyota,Camry, Union City, NJ,1,3.0,Personal
39315,9226,2019,Lexus,RX, New York, NY,0,1.0,Personal
33792,50367,2017,Jaguar,F-PACE, Jersey City, NJ,0,2.0,Personal
